UHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Pro Forma ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#NUM!,,,,,12/31/2025,,,,,,,,,,47118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UHI Operating Pro Forma,,Historical,,,,,Year 1,,,,,Year 2,,,,,Year 3,,,,,Year 4,,,,,Year 5,,,,,Year 6,,,,,Year 7,,,,,Year 8,,,,,Year 9,,,,,Year 10,,,
KEY STATISTICS,,,,,,,2026,,,,,2027,,,,,Stabilized,,,,,2029,,,,,2030,,,,,2031,,,,,2032,,,,,2033,,,,,2034,,,,,2035,,,
Property Ops & Maintenance ,,,0.0%,$0,$0,,"$1,868,905",4.0%,$55,$34,,"$2,000,155",4.0%,$57,$37,,"$2,129,412",4.0%,$58,$39,,"$2,187,344",4.0%,$60,$40,,"$2,252,964",4.0%,$62,$41,,"$2,320,553",4.0%,$64,$42,,"$2,396,671",4.0%,$66,$44,,"$2,461,874",4.0%,$68,$45,,"$2,535,731",4.0%,$70,$46,,"$2,611,803",4.0%,$72,$48
Utilities ,,,0.0%,$0,$0,,"$1,308,233",2.8%,$39,$24,,"$1,400,109",2.8%,$40,$26,,"$1,490,588",2.8%,$41,$27,,"$1,531,140",2.8%,$42,$28,,"$1,577,075",2.8%,$43,$29,,"$1,624,387",2.8%,$45,$30,,"$1,677,670",2.8%,$46,$31,,"$1,723,312",2.8%,$47,$31,,"$1,775,011",2.8%,$49,$32,,"$1,828,262",2.8%,$50,$33
Undistributed Expenses Total ,,$0,0.0%,$0,$0,,"$11,166,706",23.9%,$329,$204,,"$11,950,928",23.9%,$339,$218,,"$12,723,234",23.9%,$349,$232,,"$13,069,378",23.9%,$359,$239,,"$13,461,459",23.9%,$370,$246,,"$13,865,303",23.9%,$381,$253,,"$14,320,112",23.9%,$393,$261,,"$14,709,700",23.9%,$404,$269,,"$15,150,991",23.9%,$417,$277,,"$15,605,520",23.9%,$429,$285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GROSS OPERATING PROFIT,,$0,0.0%,$0,$0,,"$10,465,429",22.4%,$308,$191,,"$11,202,825",22.4%,$318,$205,,"$11,928,934",22.4%,$327,$217,,"$12,253,289",22.4%,$337,$224,,"$12,620,888",22.4%,$347,$231,,"$12,999,515",22.4%,$357,$237,,"$13,426,120",22.4%,$368,$245,,"$13,791,185",22.4%,$379,$252,,"$14,204,921",22.4%,$391,$259,,"$14,631,068",22.4%,$402,$267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NON-OPERATING INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F&B Beverage Lease,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Non-Operating Income Total ,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Operating Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property Taxes,,,0.0%,$0,$0,,"$100,000",0.2%,$3,$2,,"$102,500",0.2%,$3,$2,,"$105,063",0.2%,$3,$2,,"$107,689",0.2%,$3,$2,,"$110,381",0.2%,$3,$2,,"$113,141",0.2%,$3,$2,,"$115,969",0.2%,$3,$2,,"$118,869",0.2%,$3,$2,,"$121,840",0.2%,$3,$2,,"$124,886",0.2%,$3,$2
Insurance ,,,0.0%,$0,$0,,"$85,000",0.2%,$3,$2,,"$87,125",0.2%,$2,$2,,"$89,303",0.2%,$2,$2,,"$91,536",0.2%,$3,$2,,"$93,824",0.2%,$3,$2,,"$96,170",0.2%,$3,$2,,"$98,574",0.2%,$3,$2,,"$101,038",0.2%,$3,$2,,"$103,564",0.2%,$3,$2,,"$106,153",0.2%,$3,$2
Total Management Fees,,,0.0%,$0,$0,,"$1,868,905",4.0%,$55,$34,,"$2,000,155",4.0%,$57,$37,,"$2,129,412",4.0%,$58,$39,,"$2,187,344",4.0%,$60,$40,,"$2,252,964",4.0%,$62,$41,,"$2,320,553",4.0%,$64,$42,,"$2,396,671",4.0%,$66,$44,,"$2,461,874",4.0%,$68,$45,,"$2,535,731",4.0%,$70,$46,,"$2,611,803",4.0%,$72,$48
Franchise Fees,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Asset Management Fees,,,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0,,$0,0.0%,$0,$0
Total Non-Operating Expenses,,$0,0.0%,$0,$0,,"$2,053,905",4.4%,$61,$38,,"$2,189,780",4.4%,$62,$40,,"$2,323,777",4.4%,$64,$42,,"$2,386,568",4.4%,$66,$44,,"$2,457,169",4.4%,$68,$45,,"$2,529,863",4.4%,$70,$46,,"$2,611,215",4.4%,$72,$48,,"$2,681,781",4.4%,$74,$49,,"$2,761,135",4.4%,$76,$50,,"$2,842,842",4.4%,$78,$52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NET OPERATING INCOME,,$0,0.0%,$0,$0,,"$8,411,524",18.0%,$248,$154,,"$9,013,044",18.0%,$255,$165,,"$9,605,157",18.0%,$263,$175,,"$9,866,721",18.0%,$271,$180,,"$10,163,719",18.0%,$279,$186,,"$10,469,651",18.0%,$288,$191,,"$10,814,905",18.0%,$296,$197,,"$11,109,404",18.1%,$305,$203,,"$11,443,786",18.1%,$315,$209,,"$11,788,226",18.1%,$324,$215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capex Reserve,,,0.0%,$0,$0,,"$934,452",2.0%,$28,$17,,"$1,000,078",2.0%,$28,$18,,"$1,064,706",2.0%,$29,$19,,"$1,093,672",2.0%,$30,$20,,"$1,126,482",2.0%,$31,$21,,"$1,160,276",2.0%,$32,$21,,"$1,198,336",2.0%,$33,$22,,"$1,230,937",2.0%,$34,$22,,"$1,267,865",2.0%,$35,$23,,"$1,305,901",2.0%,$36,$24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOI AFTER RESERVE,,$0,0.0%,$0,$0,,"$7,477,072",16.0%,$220,$137,,"$8,012,967",16.0%,$227,$146,,"$8,540,451",16.0%,$234,$156,,"$8,773,049",16.0%,$241,$160,,"$9,037,237",16.0%,$248,$165,,"$9,309,375",16.0%,$256,$170,,"$9,616,570",16.0%,$264,$175,,"$9,878,467",16.1%,$272,$180,,"$10,175,920",16.1%,$280,$186,,"$10,482,325",16.1%,$288,$191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,             ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
